"dpid","EmriPartise","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve","koalicionet"
"1133","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-19","0","0","0","0","0",""
"1134","Aleanca.Official","2014-06-19","0","0","0","0","0",""
"1135","aleancakosovaere","2014-06-19","0","0","0","0","0",""
"1136","PDKqender","2014-06-19","0","0","0","0","0",""
"1137","aleancakosovaere","2014-06-18","397","0","28","18","3",""
"1138","vetevendosje","2014-06-18","1302","0","25","44","2",""
"1139","drejtesiaofficial","2014-06-18","0","0","0","0","0",""
"1140","AlternativaKosova","2014-06-18","0","0","0","0","0",""
"1141","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-18","0","0","0","0","0",""
"1142","Aleanca.Official","2014-06-18","0","0","0","0","0",""
"1143","PDKqender","2014-06-18","0","0","0","0","0",""
"1144","nismaperkosoven.official","2014-06-18","0","0","0","0","0",""
"1145","aleancakosovaere","2014-06-17","43","0","1","5","1",""
"1146","drejtesiaofficial","2014-06-17","172","0","0","4","1",""
"1147","vetevendosje","2014-06-17","214","0","1","2","1",""
"1148","AlternativaKosova","2014-06-17","0","0","0","0","0",""
"1149","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-17","0","0","0","0","0",""
"1150","Aleanca.Official","2014-06-17","0","0","0","0","0",""
"1151","PDKqender","2014-06-17","0","0","0","0","0",""
"1152","nismaperkosoven.official","2014-06-17","0","0","0","0","0",""
"1153","Aleanca.Official","2014-06-16","339","0","2","7","1",""
"1154","aleancakosovaere","2014-06-16","46","0","3","7","1",""
"1155","drejtesiaofficial","2014-06-16","288","0","6","14","1",""
"1156","vetevendosje","2014-06-16","1232","0","32","32","2",""
