"drkid","EmriKoalicionit","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve"
"752","PDK-AAK-NISMA","2017-10-20","8722","8840","474","284","36"
"753","VV","2017-10-20","10565","12984","5169","1143","8"
"835","LDK-AKR-ALT","2017-10-25","153","153","3","0","3"
"836","PDK-AAK-NISMA","2017-10-25","3553","3612","436","516","3"
"837","VV","2017-10-25","1908","1947","74","31","3"
"838","LDK-AKR-ALT","2017-10-24","260","260","4","6","4"
"839","PDK-AAK-NISMA","2017-10-24","86","86","0","5","1"
"840","VV","2017-10-24","440","446","5","3","2"
"1021","LDK-AKR-ALT","2017-10-31","1243","1248","28","10","10"
"1022","PDK-AAK-NISMA","2017-10-31","77","77","1","0","1"
"1023","VV","2017-10-31","245","251","23","56","1"
"1024","LDK-AKR-ALT","2017-10-30","515","520","15","9","3"
"1025","PDK-AAK-NISMA","2017-10-30","0","0","0","0","0"
"1026","VV","2017-10-30","0","0","0","0","0"
"1027","VV","2017-10-29","1444","1676","645","107","2"
"1028","PDK-AAK-NISMA","2017-10-29","0","0","0","0","0"
"1029","LDK-AKR-ALT","2017-10-29","0","0","0","0","0"
"1030","LDK-AKR-ALT","2017-10-28","132","134","1","0","3"
"1031","PDK-AAK-NISMA","2017-10-28","116","116","2","0","1"
"1032","VV","2017-10-28","0","0","0","0","0"
"1033","LDK-AKR-ALT","2017-10-27","1808","1818","68","52","7"
"1034","PDK-AAK-NISMA","2017-10-27","0","0","0","0","0"
"1035","VV","2017-10-27","0","0","0","0","0"
"1036","LDK-AKR-ALT","2017-10-26","562","570","20","16","6"
"1037","VV","2017-10-26","662","679","8","8","1"
"1038","PDK-AAK-NISMA","2017-10-26","0","0","0","0","0"
"1207","LDK-AKR-ALT","2017-11-05","256","259","1","4","2"
"1208","PDK-AAK-NISMA","2017-11-05","22","23","0","0","1"
"1209","VV","2017-11-05","3651","4337","475","211","4"
"1210","LDK-AKR-ALT","2017-11-04","211","211","7","0","1"
"1211","PDK-AAK-NISMA","2017-11-04","169","170","0","0","2"
"1212","VV","2017-11-04","1624","2029","277","304","2"
"1213","LDK-AKR-ALT","2017-11-03","712","714","13","35","5"
"1214","PDK-AAK-NISMA","2017-11-03","194","195","5","3","3"
"1215","VV","2017-11-03","786","879","25","0","1"
"1216","LDK-AKR-ALT","2017-11-02","808","810","19","11","8"
"1217","VV","2017-11-02","2001","2074","49","110","3"
"1218","PDK-AAK-NISMA","2017-11-02","0","0","0","0","0"
"1219","LDK-AKR-ALT","2017-11-01","860","862","21","32","6"
"1220","PDK-AAK-NISMA","2017-11-01","134","137","0","1","2"
"1221","VV","2017-11-01","1408","1440","50","31","3"
