"EmriKandidatit","Data","NrLike","NrReaction","NrKomenteve","NrShare","nrPosteve","Partia","Komuna"
"QendronKastrati10","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Kamenica"
"533546846720711","2017-10-24","0","0","0","0","0","NISMA","MalishevÃ«"
"548957518774900","2017-10-24","0","0","0","0","0","PDK","FushÃ« KosovÃ«"
"pdknaimismajli","2017-10-24","0","0","0","0","0","PDK","Shtime"
"ldkjunikfaqjazyrtare","2017-10-24","0","0","0","0","0","LDK","Junik"
"ZenunPajazitiOfficial","2017-10-24","0","0","0","0","0","PDK","Gjilan"
"abrashiarban","2017-10-24","0","0","0","0","0","LDK","Prishtina"
"IsmetHajrullahuPDK","2017-10-24","0","0","0","0","0","PDK","Lipjan"
"AgimVeliu","2017-10-24","0","0","0","0","0","LDK","PodujevÃ«"
"muharremsvarqazyrtare","2017-10-24","0","0","0","0","0","LDK","Ferizaj"
"910656602314125","2017-10-24","0","0","0","0","0","LDK","Sharr"
"1914605832085405","2017-10-23","83","83","0","6","1","SL","Partesh"
"1934481086825941","2017-10-23","236","246","9","14","1","LÃ«vizja VETÃ‹VENDOSJE!","SuharekÃ«"
"491857897815166","2017-10-23","465","468","29","28","1","PDK","PodujevÃ«"
"505468136208097","2017-10-23","881","888","146","39","1","LDK","Istog"
"910656602314125","2017-10-23","48","48","1","1","1","LDK","Sharr"
"abrashiarban","2017-10-23","504","504","6","0","2","LDK","Prishtina"
"Agim.Bahtirii","2017-10-23","643","662","71","10","2","AKR","Mitrovica"
"AgimAliuPDK94","2017-10-23","1506","1517","86","25","1","PDK","Ferizaj"
"AgimVeliu","2017-10-23","610","619","36","8","1","LDK","PodujevÃ«"
"Agron.Avdijaj10","2017-10-23","133","134","4","10","1","LÃ«vizja VETÃ‹VENDOSJE!","Istog"
"AjetPotera2017","2017-10-23","686","721","51","26","1","LÃ«vizja VETÃ‹VENDOSJE!","PodujevÃ«"
"BesimIlaziPDK","2017-10-23","954","955","155","15","1","PDK","KaÃ§anik"
"BurimBerishaOfficial","2017-10-23","1376","1384","73","14","1","LDK","FushÃ« KosovÃ«"
"FatmirRashitiVoto54","2017-10-23","671","672","68","23","2","KP","Shtime"
"FatonTopalli2017","2017-10-23","369","377","25","2","1","LÃ«vizja VETÃ‹VENDOSJE!","Ferizaj"
"gazmuhaxheri","2017-10-23","2701","2723","104","23","2","LDK","Peja"
"hazirilutfi","2017-10-23","6372","6424","323","92","4","LDK","Gjilan"
"imri.ahmeti","2017-10-23","5409","5441","380","64","1","LDK","Lipjan"
"KryetarFehmiFerati","2017-10-23","182","192","6","6","1","LÃ«vizja VETÃ‹VENDOSJE!","Mitrovica"
"muharremsvarqazyrtare","2017-10-23","241","242","14","12","1","LDK","Ferizaj"
"oliverivanovickos","2017-10-23","50","55","2","4","2","IQ","Mitrovica Veriore"
"pdknaimismajli","2017-10-23","1359","1364","119","26","3","PDK","Shtime"
"RamadanHotii","2017-10-23","630","632","45","3","1","PDK","Gjakova"
"ramizlladrovci","2017-10-23","4119","4186","250","17","4","PDK","Drenas"
"sabihashalaofficial","2017-10-23","507","517","31","28","1","PDK","Peja"
"ShpendAhmetii","2017-10-23","1345","1418","49","10","1","LÃ«vizja VETÃ‹VENDOSJE!","Prishtina"
"SmajlLatifi50","2017-10-23","96","96","1","0","1","AAK","Rahovec"
"sokolihaliti.official","2017-10-23","1892","1904","283","25","1","LDK","Viti"
"validrizi","2017-10-23","646","663","68","6","1","PDK","Mitrovica"
"vllahiuarber","2017-10-23","378","386","6","1","1","AAK","Prishtina"
"XhaferGashiPerObiliq","2017-10-23","275","275","15","2","1","AAK","Obiliq"
"xhemajlajisa","2017-10-23","65","65","3","2","2","NISMA","Drenas"
"101664896548627","2017-10-23","0","0","0","0","0","LDK","Obiliq"
"lulzimkabashi.ak","2017-10-23","0","0","0","0","0","AAK","Prizren"
"aaksuharekeofficial","2017-10-23","0","0","0","0","0","AAK","SuharekÃ«"
"vetevendosjekastriot","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Obiliq"
"salihsalihu19","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Viti"
"mal.lokaj1","2017-10-23","0","0","0","0","0","LDK","DeÃ§an"
"shaqirtotaj","2017-10-23","0","0","0","0","0","PDK","Prizren"
"130664660988134","2017-10-23","0","0","0","0","0","SL","DeÃ§an"
"besimhotikline","2017-10-23","0","0","0","0","0","LDK","KlinÃ«"
"BlerandKadrijajofficial","2017-10-23","0","0","0","0","0","PDK","DeÃ§an"
"BlerimiperSuhareke","2017-10-23","0","0","0","0","0","PDK","SuharekÃ«"
"BashotaSokol","2017-10-23","0","0","0","0","0","PDK","KlinÃ«"
"fatmirgashipeje","2017-10-23","0","0","0","0","0","AAK","Peja"
"LvvKacanik","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KaÃ§anik"
"LirakCelaj.ks","2017-10-23","0","0","0","0","0","PDK","Prishtina"
"zekesinanajdecan","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","DeÃ§an"
"1471112073125298","2017-10-23","0","0","0","0","0","AKR","Skenderaj"
"XhavitZariqiOfficial","2017-10-23","0","0","0","0","0","AAK","Ferizaj"
"mimozakusari","2017-10-23","0","0","0","0","0","ALT","Gjakova"
"1555763194717660","2017-10-23","0","0","0","0","0","AAK","Istog"
"CaushiDriton","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjakova"
